[Simulation].RunIndex(1)	[Simulation].RunIndex(2)	[BaristaQ].AverageQueueTime
		s
3.0	99.0	3.1694508960113943
3.0	100.0	1.70337007225436
4.0	1.0	0.6060974985795421
4.0	2.0	1.267550546284214
4.0	3.0	0.32615272867131584
4.0	4.0	0.313222969476741
4.0	5.0	0.9308558762589886
4.0	6.0	0.3951566326836335
4.0	7.0	0.9290942587209305
4.0	8.0	0.2149393709449949
4.0	9.0	0.4580092594142306
4.0	10.0	0.3199271361702023
4.0	11.0	0.42582213061223323
4.0	12.0	0.4126848924731161
4.0	13.0	0.7705790110650086
4.0	14.0	0.4009648315946307
4.0	15.0	0.44353158857143754
4.0	16.0	0.24831768505079507
4.0	17.0	0.5429430321637436
4.0	18.0	0.6568319026666626
4.0	19.0	0.8750482989840284
4.0	20.0	0.3720541549295626
4.0	21.0	0.8612853051851761
4.0	22.0	0.40958763141994287
4.0	23.0	0.18874785245902045
4.0	24.0	0.37339622535210754
4.0	25.0	0.3457273367198826
4.0	26.0	1.2998356921965275
4.0	27.0	0.31487607391304007
4.0	28.0	0.4588271329479697
4.0	29.0	0.43733178481012874
4.0	30.0	0.2042477127819466
4.0	31.0	0.4152327805907198
4.0	32.0	0.3796968749999993
4.0	33.0	0.582685661951915
4.0	34.0	0.7016905084087992
4.0	35.0	0.29641789552238934
4.0	36.0	0.4670679729363905
4.0	37.0	0.5002535489913484
4.0	38.0	0.34359552941175087
4.0	39.0	0.4640167132867216
4.0	40.0	0.8229445314685379
4.0	41.0	0.33969733139534786
4.0	42.0	0.1873958555900675
4.0	43.0	0.5084149378306828
4.0	44.0	0.33288715514593215
4.0	45.0	0.5008729942693464
4.0	46.0	0.4107359653679723
4.0	47.0	0.6014403473980385
4.0	48.0	0.3260540689655171
4.0	49.0	0.585236203216373
4.0	50.0	0.572727046742211
4.0	51.0	0.3316434171348272
4.0	52.0	0.2565821232091769
4.0	53.0	0.7358254759945185
4.0	54.0	0.4714011140845093
4.0	55.0	0.42460084964538564
4.0	56.0	1.0337740085959997
4.0	57.0	0.5664447979502163
4.0	58.0	0.45459275738724886
4.0	59.0	0.22717266091953514
4.0	60.0	0.38371637099022726
4.0	61.0	0.2188492360703839
4.0	62.0	0.28994362996941886
4.0	63.0	0.10907126050420045
4.0	64.0	0.3307017451523574
4.0	65.0	0.8949431392961862
4.0	66.0	0.5232245164051272
4.0	67.0	0.23527250294985239
4.0	68.0	0.4306017878787915
4.0	69.0	0.43939205865520936
4.0	70.0	0.17778376586103717
4.0	71.0	0.4593380791367037
4.0	72.0	0.15034694622092137
4.0	73.0	0.9212488845144311
4.0	74.0	0.36188641142857314
4.0	75.0	0.28898659766764234
4.0	76.0	0.2618235405007379
4.0	77.0	0.3318147566765611
4.0	78.0	0.678722729198174
4.0	79.0	0.37632912027971777
4.0	80.0	0.38922002937063244
4.0	81.0	0.19296382861400205
4.0	82.0	0.3077652247360504
4.0	83.0	0.3607146005873549
4.0	84.0	0.28113214878397247
4.0	85.0	0.22304283915022433
4.0	86.0	0.581803394775034
4.0	87.0	0.513981383152175
4.0	88.0	0.9650630082987537
4.0	89.0	0.9018419511533255
4.0	90.0	0.680488251445097
4.0	91.0	0.09430715068493788
4.0	92.0	0.03250433333333166
4.0	93.0	0.3114305453237485
4.0	94.0	0.6304002233576742
4.0	95.0	0.5423229731258896
4.0	96.0	0.33191273647711145
4.0	97.0	0.3857902256637078
4.0	98.0	0.719854606224639
4.0	99.0	0.5029409202279171
4.0	100.0	0.1617736546242794
